"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1445","Открытие формы регистра сведений ""Значения групп доступа по умолчанию"" (ЗначенияГруппДоступаПоУмолчанию)","","Thu Feb 20 15:43:56 MSK 2025","passed","Thu Feb 20 15:43:58 MSK 2025","","","",""
"","2173","Открытие формы списка документа ""Счет-фактура налогового агента"" (СчетФактураНалоговыйАгент)","","Thu Feb 20 14:57:00 MSK 2025","passed","Thu Feb 20 14:57:02 MSK 2025","","","",""
"","2616","Открытие формы документа ""Производственная операция ВетИС"" (ПроизводственнаяОперацияВЕТИС)","","Thu Feb 20 15:04:40 MSK 2025","passed","Thu Feb 20 15:04:43 MSK 2025","","","",""
"","1509","Печать элемента справочника ""Варианты графиков"" (ВариантыГрафиковКредитовИДепозитов)","","Thu Feb 20 14:50:13 MSK 2025","passed","Thu Feb 20 14:50:14 MSK 2025","","","",""
"","2504","Открытие формы списка справочника ""Способы обеспечения потребностей"" (СпособыОбеспеченияПотребностей)","","Thu Feb 20 14:46:32 MSK 2025","passed","Thu Feb 20 14:46:35 MSK 2025","","","",""
"","1974","Открытие формы списка документа ""Пересчет WMS"" (ПересчетWMS)","","Thu Feb 20 14:58:12 MSK 2025","passed","Thu Feb 20 14:58:14 MSK 2025","","","",""
"","2154","Открытие формы списка документа ""Отчет по комиссии между организациями о списании"" (ОтчетПоКомиссииМеждуОрганизациямиОСписании)","","Thu Feb 20 14:55:06 MSK 2025","passed","Thu Feb 20 14:55:08 MSK 2025","","","",""
"","2612","Открытие формы списка справочника ""Сценарии синхронизации данных"" (СценарииОбменовДанными)","","Thu Feb 20 14:47:07 MSK 2025","passed","Thu Feb 20 14:47:09 MSK 2025","","","",""
"","2493","Открытие формы списка плана видов характеристик ""Статьи расходов"" (СтатьиРасходов)","","Thu Feb 20 15:30:58 MSK 2025","passed","Thu Feb 20 15:31:00 MSK 2025","","","",""
"","2175","Открытие формы списка регистра сведений ""Журнал событий ЭДО"" (ЖурналСобытийЭД)","","Thu Feb 20 15:40:56 MSK 2025","passed","Thu Feb 20 15:40:58 MSK 2025","","","",""
"","1677","Печать элемента документа ""Отчет комитенту о продажах"" (ОтчетКомитенту)","","Thu Feb 20 15:17:28 MSK 2025","passed","Thu Feb 20 15:17:30 MSK 2025","","","",""
"","2401","Открытие формы списка регистра сведений ""Размещение номенклатуры по складским ячейкам"" (РазмещениеНоменклатурыПоСкладскимЯчейкам)","","Thu Feb 20 15:40:07 MSK 2025","passed","Thu Feb 20 15:40:09 MSK 2025","","","",""
"","1440","Открытие формы регистра сведений ""Идентификаторы объектов версий расширений"" (ИдентификаторыОбъектовВерсийРасширений)","","Thu Feb 20 15:43:58 MSK 2025","passed","Thu Feb 20 15:43:59 MSK 2025","","","",""
"","1464","Открытие формы регистра сведений ""Связи между физическими лицами"" (СвязиМеждуФизЛицами)","","Thu Feb 20 15:45:24 MSK 2025","passed","Thu Feb 20 15:45:25 MSK 2025","","","",""
"","2348","Открытие формы списка регистра сведений ""Настройки версионирования объектов"" (НастройкиВерсионированияОбъектов)","","Thu Feb 20 15:37:49 MSK 2025","passed","Thu Feb 20 15:37:51 MSK 2025","","","",""
"","2666","Открытие формы документа ""Ремонтный лист"" (апрРемонтныйЛист)","","Thu Feb 20 14:59:32 MSK 2025","passed","Thu Feb 20 14:59:35 MSK 2025","","","",""
"","2729","Открытие формы документа ""План закупок"" (ПланЗакупок)","","Thu Feb 20 15:03:19 MSK 2025","passed","Thu Feb 20 15:03:21 MSK 2025","","","",""
"","2093","Открытие формы списка документа ""Ожидаемое поступление денежных средств"" (ОжидаемоеПоступлениеДенежныхСредств)","","Thu Feb 20 14:54:23 MSK 2025","passed","Thu Feb 20 14:54:25 MSK 2025","","","",""
"","2609","Открытие формы документа ""Кассовая смена"" (КассоваяСмена)","","Thu Feb 20 15:01:43 MSK 2025","passed","Thu Feb 20 15:01:46 MSK 2025","","","",""
"","2513","Открытие формы списка регистра накопления ""Денежные средства (наличные)"" (ДенежныеСредстваНаличные)","","Thu Feb 20 15:46:52 MSK 2025","passed","Thu Feb 20 15:46:54 MSK 2025","","","",""
"","1457","Открытие формы регистра сведений ""Настройки отправки накладных (ЯРВЕТ)"" (ЯРВЕТ_НастройкиОтправкиНакладных)","","Thu Feb 20 15:45:46 MSK 2025","passed","Thu Feb 20 15:45:47 MSK 2025","","","",""
"","2262","Открытие формы списка регистра сведений ""Зависимости прав доступа"" (ЗависимостиПравДоступа)","","Thu Feb 20 15:37:03 MSK 2025","passed","Thu Feb 20 15:37:06 MSK 2025","","","",""
"","6856","Печать элемента справочника ""Сертификаты номенклатуры"" (СертификатыНоменклатуры)","","Thu Feb 20 14:51:07 MSK 2025","passed","Thu Feb 20 14:51:14 MSK 2025","","","",""
"","2298","Открытие формы списка регистра сведений ""Оповещение пользователям"" (ЯРВЕТ_ОповещениеПользователям)","","Thu Feb 20 15:40:58 MSK 2025","passed","Thu Feb 20 15:41:00 MSK 2025","","","",""
"","2203","Открытие формы списка регистра сведений ""Настройки панели отчетов"" (ЯРВЕТ_НастройкиПанелиОтчетов)","","Thu Feb 20 15:41:29 MSK 2025","passed","Thu Feb 20 15:41:31 MSK 2025","","","",""
"","1531","Открытие формы плана видов характеристик ""Виды объектов бизнес-процессов"" (CRM_ВидыОбъектовБизнесПроцессов)","","Thu Feb 20 15:31:04 MSK 2025","passed","Thu Feb 20 15:31:06 MSK 2025","","","",""
"","2558","Открытие формы списка документа ""Возврат товаров поставщику"" (ВозвратТоваровПоставщику)","","Thu Feb 20 14:52:21 MSK 2025","passed","Thu Feb 20 14:52:23 MSK 2025","","","",""
"","2234","Открытие формы списка регистра сведений ""Пакетный Обмен для CMS 1С-Битрикс"" (Б_ПакетныйОбмен)","","Thu Feb 20 15:41:01 MSK 2025","passed","Thu Feb 20 15:41:03 MSK 2025","","","",""
"","2214","Открытие формы списка документа ""Пересчет товаров"" (ПересчетТоваров)","","Thu Feb 20 14:55:18 MSK 2025","passed","Thu Feb 20 14:55:20 MSK 2025","","","",""
"","2165","Открытие формы списка регистра накопления ""Партии производственных затрат"" (ПартииПроизводственныхЗатрат)","","Thu Feb 20 15:47:00 MSK 2025","passed","Thu Feb 20 15:47:02 MSK 2025","","","",""
"","2496","Открытие формы списка регистра сведений ""Значения групп доступа по умолчанию"" (ЗначенияГруппДоступаПоУмолчанию)","","Thu Feb 20 15:37:16 MSK 2025","passed","Thu Feb 20 15:37:18 MSK 2025","","","",""
"","7900","Печать элемента справочника ""Номенклатура"" (Номенклатура)","","Thu Feb 20 14:50:45 MSK 2025","passed","Thu Feb 20 14:50:53 MSK 2025","","","",""
"","3700","Открытие формы журнала документов ""Журнал платежей"" (Платежи)","","Thu Feb 20 15:31:55 MSK 2025","passed","Thu Feb 20 15:31:58 MSK 2025","","","",""
"","4447","Открытие формы документа ""Заказ клиента"" (ЗаказКлиента)","","Thu Feb 20 15:00:22 MSK 2025","passed","Thu Feb 20 15:00:26 MSK 2025","","","",""
"","2112","Открытие формы списка документа ""Факт продаж новый"" (ЯРВЕТ_ФактПродажНовый)","","Thu Feb 20 14:58:27 MSK 2025","passed","Thu Feb 20 14:58:29 MSK 2025","","","",""
"","1458","Открытие формы регистра сведений ""Таблицы групп доступа"" (ТаблицыГруппДоступа)","","Thu Feb 20 15:45:34 MSK 2025","passed","Thu Feb 20 15:45:35 MSK 2025","","","",""
"","2531","Открытие формы документа ""Анкета"" (Анкета)","","Thu Feb 20 14:59:22 MSK 2025","passed","Thu Feb 20 14:59:24 MSK 2025","","","",""
"","2861","Открытие формы списка справочника ""Претензии клиентов"" (ПретензииКлиентов)","","Thu Feb 20 14:44:47 MSK 2025","passed","Thu Feb 20 14:44:50 MSK 2025","","","",""
"","2577","Открытие формы списка справочника ""Настройка выгрузки свойств (ЯРВЕТ)"" (ЯРВЕТ_НастройкаВыгрузкиСвойств)","","Thu Feb 20 14:47:55 MSK 2025","passed","Thu Feb 20 14:47:58 MSK 2025","","","",""
"","2844","Открытие формы документа ""Задание торговому представителю"" (ЗаданиеТорговомуПредставителю)","","Thu Feb 20 15:00:19 MSK 2025","passed","Thu Feb 20 15:00:21 MSK 2025","","","",""
"","2323","Открытие формы списка документа ""Перемещение товаров"" (ПеремещениеТоваров)","","Thu Feb 20 14:55:13 MSK 2025","passed","Thu Feb 20 14:55:15 MSK 2025","","","",""
"","2633","Открытие формы списка справочника ""Бизнес регионы логистика"" (БизнесРегионыЛогистика)","","Thu Feb 20 14:39:18 MSK 2025","passed","Thu Feb 20 14:39:21 MSK 2025","","","",""
